id,collection,type,city,street,severity,reportBy,confidence,eventId
78,alertas,POLICE,Santiago,"Santo Domingo",0,"",0,alert_alert-1852500227/d029393f-cf71-4a12-ad3e-83b84ef67f51
79,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712099092/0e229c3c-2e8b-48aa-91be-1bc9511f1443
80,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1710860856/2aeb7b04-f80c-4156-871b-0bc4b88275ae
81,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711796064/a5779c6b-5b87-4873-8290-cdd66c944bb2
82,alertas,JAM,Recoleta,"Santa Filomena",0,"",0,alert_alert-1852584665/4d412e38-17ad-4f08-9a59-f89475a34155
83,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711434982/1c4c58c5-dcd6-4a82-b0df-54d1e6855b0f
84,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711830529/5b6f0c4a-4ad6-4d24-aa55-623b31a40341
85,alertas,ROAD_CLOSED,"Estación Central","San Francisco de Borja",0,"",0,alert_alert-1852528532/4f6ae3fa-cf11-47e5-9161-d8e4851b0725
86,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711913477/add8f68e-eddd-47e0-8e85-abc8a320329c
87,alertas,JAM,"","Autopista Central",0,"",0,alert_alert-1852543554/97a6d2b8-94de-4c4f-b11a-94f20355b9f4
88,alertas,CHIT_CHAT,"Estación Central","Ramón Rivas",0,"",0,alert_alert-1852425850/ea5ae131-e306-4e1e-bdae-e46a1822de61
89,alertas,JAM,Providencia,"Av. Costanera Andrés Bello",0,"",0,alert_alert-1852515250/73c89756-1487-4a7b-b908-82d9da41b704
90,alertas,ROAD_CLOSED,Providencia,"General Bustamante",0,"",0,alert_alert-1299187886/5e7ae77b-08b2-40dc-b9be-9f2f7c67da52
91,alertas,HAZARD,Santiago,"Av. Manuel Antonio Matta",0,"",0,alert_alert-1852653424/120eb3c3-4b1f-4a2e-97e6-52a450401396
92,alertas,POLICE,Providencia,"Av. Providencia",0,"",0,alert_alert-1852682779/757a732b-7b3a-4857-b60f-d88eedad7fdd
93,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712161609/52a2cfdb-5b26-445a-baa5-c88e8ecfc4c5
94,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711698248/c9289721-f4bc-4730-a149-2e563af522c7
95,alertas,ACCIDENT,"Estación Central",,0,"",0,alert_alert-1852628383/46e6af60-6017-48a4-b8b5-ea3da34794e3
96,alertas,HAZARD,Santiago,Agustinas,0,"",0,alert_alert-1852477814/89590c2c-e769-433c-b2c4-2c1eae359c00
97,alertas,POLICE,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1852559198/08d214a6-c478-494d-a487-0ee4c79ef1be
98,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1851505543/210a9c91-c222-4446-8835-96fe6b27312a
99,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711285163/ca2bca3c-a06c-4507-895c-e8b22ac6d66d
100,alertas,CHIT_CHAT,Santiago,Catedral,0,"",0,alert_alert-1852652696/b62b8466-a037-4abc-b75f-b1e73abbdd07
101,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711558578/02203a4a-618b-4a96-b418-16c7dc40bcd8
102,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711400617/c662cbd0-719e-45d2-9687-294671831b60
103,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711106087/1afd8339-4109-4f1b-979a-0ebb0730abcf
104,alertas,CHIT_CHAT,"Lo Prado","Av. San Pablo",0,"",0,alert_alert-1852573153/d7b469f1-e323-4f9d-a10e-7d7cc86efaef
105,alertas,JAM,Providencia,"Av. Vicuña Mackenna",0,"",0,alert_alert-1852621358/8cc8d12f-7015-4bbc-a1c7-28e20e821b5c
106,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711766319/7f8ce6c6-6d95-4b92-941e-76e3eb3be715
107,alertas,CHIT_CHAT,Santiago,"Morandé",0,"",0,alert_alert-1852499117/53f64d04-5cb8-4017-9d16-da3b4c3cdb8f
108,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711408566/f0e03b98-4631-4bd2-bb36-50afee83555a
109,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711170507/5033a351-a2c0-405c-9f9f-6cce2a428bd1
110,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711821409/5ddb3193-efa6-4f67-82bf-450be69ed992
111,alertas,CHIT_CHAT,Santiago,"Av. Manuel Antonio Matta",0,"",0,alert_alert-1852548785/1cc84d30-6d47-4c93-a12b-d799b1c212bf
112,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711905538/7aa70c5c-e484-4356-8ea6-281d8644589f
113,alertas,JAM,Recoleta,Loreto,0,"",0,alert_alert-1852484939/7d02be13-739e-4ccd-b927-912eeb08a10f
114,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711356544/652d6532-c912-4a89-b1af-22bbc1931b86
115,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712182269/974ba3cf-4cdf-4cbe-b640-637a3835e577
116,alertas,HAZARD,Recoleta,"Av. Perú",0,"",0,alert_alert-1852471248/d85a76ac-7578-4df5-808e-1e439ebc0367
117,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711934256/16930b64-0095-4644-8483-1401f112b65b
118,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711865782/e0dfff30-0b3c-49e4-b065-b4fbb28f1c7d
119,alertas,ROAD_CLOSED,Santiago,"Salvador Sanfuentes",0,"",0,alert_alert-234401017/82e29c40-2f95-40fb-a4d6-ffc0eccd97a9
120,alertas,HAZARD,Santiago,Agustinas,0,"",0,alert_alert-1852627108/fdf73ae9-0c78-4979-9e2f-dd6a59243cb3
121,alertas,JAM,Santiago,"Av. Cardenal José María Caro",0,"",0,alert_alert-1852470959/c9b4eb69-cb02-4c73-b566-9d836eaf9f93
122,alertas,HAZARD,Santiago,"San Diego",0,"",0,alert_alert-1852490650/f89705aa-5386-4453-b8d5-a55405919305
123,alertas,POLICE,Santiago,Catedral,0,"",0,alert_alert-1852561638/99a6ff33-7967-4efb-884d-4a263b8013e6
124,alertas,POLICE,Santiago,"San Francisco",0,"",0,alert_alert-1852492825/e3cea1da-dbcf-4cdf-a457-13f44a39df0c
125,alertas,POLICE,Santiago,Bandera,0,"",0,alert_alert-1852320196/5f590618-4e38-4ba6-8c31-5a254f1f3da7
126,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711105534/74df90e8-077f-4693-9a6a-c081f6afbc01
127,alertas,POLICE,Santiago,Catedral,0,"",0,alert_alert-1852588526/d7adeccd-5ae0-4730-8848-f2a6f3df4c8b
128,alertas,HAZARD,"Quinta Normal","Nueva Imperial",0,"",0,alert_alert-1852548608/d45b954d-c7e0-4172-8cb6-17b6a4082c26
129,alertas,POLICE,Santiago,"San Francisco",0,"",0,alert_alert-1852517772/9c983bef-1f3b-4fc0-8c8d-08a9a88cede1
130,alertas,HAZARD,Santiago,"Av. Matucana",0,"",0,alert_alert-1852290413/c533543a-ecac-4ae1-972f-e661162934d7
131,alertas,POLICE,Santiago,"Morandé",0,"",0,alert_alert-1852491515/6df43828-8c6f-4941-80c0-369459dc4199
132,alertas,JAM,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1852652924/bb3122f4-c671-4aa1-ba6f-bbe2048393e1
133,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1683382978/cb2e2003-2ef2-4b72-b6e5-8d5d57a79402
134,alertas,POLICE,"Estación Central","Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1852377723/173b28a8-ab3d-464f-a54b-e0ce571d60cd
135,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712004995/e1d076e1-f6cb-4402-a7da-6d921a2d299e
136,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711071722/516df18a-b9a6-4b9e-aed8-2b31d1c7e4e3
137,alertas,POLICE,"","Pista de viraje a Condell",0,"",0,alert_alert-1852698166/4ec14ba1-d1b0-4f5f-9378-3e8634b5f20d
138,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711099060/cb784c57-1482-4a7e-bbf4-7475590e0956
139,alertas,ROAD_CLOSED,Santiago,,0,"",0,alert_alert-584220966/dd990759-5ada-4d65-83fd-9318e296a4ff
140,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711616612/98012b46-05f3-4315-9468-c8c4ba2b8fb1
141,alertas,HAZARD,Santiago,Mapocho,0,"",0,alert_alert-1852409532/b897b239-5bd4-4fcc-bd55-e3b7c823ede7
142,alertas,ROAD_CLOSED,Santiago,Grajales,0,"",0,alert_alert-1852447269/71cc22c5-fe13-4e47-bb0a-ff25fd576816
143,alertas,JAM,Santiago,"Av. Vicuña Mackenna",0,"",0,alert_alert-1852583652/650a4533-3def-44b5-82b0-98733b747663
144,alertas,HAZARD,Santiago,"Ñuble",0,"",0,alert_alert-1852672035/8f92c7f8-4002-4887-b362-c5e1d018a8d9
145,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711661259/841cc2b5-7fed-45c8-ae26-23954e9218ca
146,atascos,NONE,"","San Alfonso",0,"",0,jam_628076014
147,atascos,NONE,"","Av. Manuel Antonio Matta",0,"",0,jam_624093872
148,atascos,NONE,"","Bombero Núñez",0,"",0,jam_629847438
149,atascos,NONE,"","José Miguel Carrera",0,"",0,jam_630354840
150,atascos,NONE,"",Aguirre,0,"",0,jam_630250778
151,atascos,NONE,"","Av. 10 de Julio Huamachuco",0,"",0,jam_627951974
152,atascos,NONE,"","Obispo Manuel Umaña",0,"",0,jam_629630348
153,atascos,NONE,"",Artesanos,0,"",0,jam_630141954
154,atascos,NONE,"","Morandé",0,"",0,jam_627010256
155,atascos,SMALL,"","Unión Latinoamericana",0,"",0,jam_564953918
156,atascos,NONE,"","Bascuñán Guerrero",0,"",0,jam_561149664
157,atascos,NONE,"","Tadeo Vargas",0,"",0,jam_630199682
158,atascos,NONE,"",Palestina,0,"",0,jam_629251092
159,atascos,NONE,"","San Antonio",0,"",0,jam_629661584
160,atascos,NONE,"","Av. Costanera Andrés Bello",0,"",0,jam_623821366
161,atascos,NONE,"","Sazié",0,"",0,jam_590824878
162,atascos,NONE,"","San Francisco de Borja",0,"",0,jam_628029172
163,atascos,NONE,"","Nueva Rengifo",0,"",0,jam_629491102
164,atascos,NONE,"",Moneda,0,"",0,jam_627328120
165,atascos,NONE,"","Av. Brasil",0,"",0,jam_629146140
166,atascos,NONE,"","Av. Manuel Rodríguez",0,"",0,jam_629312284
167,atascos,NONE,"","Claudio Gay",0,"",0,jam_630370482
168,atascos,NONE,"","Antonia López de Bello",0,"",0,jam_615727634
169,atascos,NONE,"","Retorno a Providencia",0,"",0,jam_210815794
170,atascos,NONE,"","Ventura Lavalle",0,"",0,jam_630366896
171,atascos,NONE,"","Molina Lavín",0,"",0,jam_630339510
172,atascos,NONE,"",Matucana,0,"",0,jam_540508946
173,atascos,NONE,"","Compañía de Jesús",0,"",0,jam_629622432
174,atascos,NONE,"","",0,"",0,jam_93118118
175,atascos,NONE,"",Arica,0,"",0,jam_578599248
176,atascos,NONE,"","Santiago Concha",0,"",0,jam_630273724
177,atascos,NONE,"",Esperanza,0,"",0,jam_627192268
178,atascos,NONE,"",Miraflores,0,"",0,jam_630091708
179,atascos,NONE,"","Av. Manuel Rodríguez",0,"",0,jam_628657738
180,atascos,NONE,"","Nataniel Cox",0,"",0,jam_629490870
181,atascos,NONE,"","Av. Manuel Antonio Matta",0,"",0,jam_630347304
182,atascos,NONE,"",Grajales,0,"",0,jam_626715616
183,atascos,NONE,"","Sergio Valdovinos",0,"",0,jam_630390190
184,atascos,NONE,"",Cuevas,0,"",0,jam_630176562
185,atascos,NONE,"","Av. Libertador Bernardo O'Higgins",0,"",0,jam_630300332
186,atascos,NONE,"",Toesca,0,"",0,jam_630234926
187,atascos,NONE,"","Av. Manuel Rodríguez Sur",0,"",0,jam_628742712
188,atascos,NONE,"","José Miguel de la Barra",0,"",0,jam_626890270
189,atascos,NONE,"","Molina Lavín",0,"",0,jam_630316626
190,atascos,NONE,"","Antonia López de Bello",0,"",0,jam_630390230
191,atascos,NONE,"",Agustinas,0,"",0,jam_613860690
192,atascos,NONE,"","Dávila Baeza",0,"",0,jam_629878350
193,atascos,NONE,"","Av. Providencia",0,"",0,jam_626277778
194,atascos,NONE,"",Chacabuco,0,"",0,jam_615877106
195,atascos,NONE,"","Av. Vicuña Mackenna",0,"",0,jam_629408970
196,atascos,NONE,"","Copiapó",0,"",0,jam_628545208
197,atascos,NONE,"","Av. Libertador Bernardo O'Higgins",0,"",0,jam_611942314
198,atascos,NONE,"",Agustinas,0,"",0,jam_630401862
199,atascos,NONE,"",Mapocho,0,"",0,jam_629889488
200,atascos,NONE,"",Marcoleta,0,"",0,jam_630308044
201,atascos,NONE,"","Santa Filomena",0,"",0,jam_628327698
202,atascos,NONE,"",Moneda,0,"",0,jam_630059884
203,atascos,NONE,"",Conferencia,0,"",0,jam_627556742
204,atascos,NONE,"",Tacna,0,"",0,jam_630390262
205,atascos,NONE,"","San Alberto Hurtado",0,"",0,jam_606187974
206,atascos,NONE,"",Catedral,0,"",0,jam_630118758
207,atascos,NONE,"","San Francisco",0,"",0,jam_624963880
208,atascos,NONE,"","Nueva Imperial",0,"",0,jam_630335482
209,atascos,NONE,"",Gorbea,0,"",0,jam_628843538
210,atascos,NONE,"","Salvador Sanfuentes",0,"",0,jam_200399256
211,atascos,NONE,"","Exposición",0,"",0,jam_598887128
212,atascos,NONE,"","República",0,"",0,jam_620268818
213,atascos,NONE,"","Av. Víctor Jara",0,"",0,jam_629382632
214,atascos,NONE,"",Marcoleta,0,"",0,jam_630390142
215,atascos,NONE,"",Portugal,0,"",0,jam_630296700
216,atascos,NONE,"","Arturo Prat",0,"",0,jam_629490920
217,atascos,NONE,"","Eusebio Lillo",0,"",0,jam_630270176
218,atascos,NONE,"","Coronel Robles",0,"",0,jam_628308994
219,atascos,NONE,"","Santo Domingo",0,"",0,jam_629060490
220,atascos,SMALL,"","Autopista Central",0,"",0,jam_627371024
221,atascos,NONE,"","Av. Vicuña Mackenna",0,"",0,jam_630393958
222,atascos,NONE,"","Av. Libertador Bernardo O'Higgins",0,"",0,jam_629618418
223,atascos,NONE,"",Toesca,0,"",0,jam_630398054
224,atascos,NONE,"",Dieciocho,0,"",0,jam_629599088
225,atascos,NONE,"",Ayuntamiento,0,"",0,jam_630164728
226,atascos,NONE,"","Av. Cardenal José María Caro",0,"",0,jam_628707328
227,atascos,NONE,"","Sazié",0,"",0,jam_629394554
228,atascos,NONE,"","Río de Janeiro",0,"",0,jam_629463934
229,atascos,NONE,"","General Bustamante",0,"",0,jam_1316626310
230,atascos,NONE,"","Salvador Sanfuentes",0,"",0,jam_566664250
231,atascos,NONE,"","Av. Recoleta",0,"",0,jam_630370412
232,atascos,NONE,"","Av. Matucana",0,"",0,jam_630258414
233,atascos,SMALL,"","Abate Molina",0,"",0,jam_566352574
234,atascos,NONE,"","General Amengual",0,"",0,jam_628583688
